date_decision,reason,company,segment,debt,lat,long
2026-01-16,lack of documentation,PIRES MATERIAIS DE CONSTRUÇÃO LTDA.,construction,"R$ 55.559.501,40",,
2026-02-11,lack of documentation,MRX CONSTRUTORA E COMERCIO LTDA,construction,"R$ 100.000,00",,
2026-02-20,lack of documentation,Grupo Maturano,food,,,
2026-02-20,lack of documentation,JBR COZINHA INDUSTRIAL LTDA,food,,,
2026-03-05,lack of documentation,ESTILO FASHION DESIGNER DE BOLSAS E ACESSORIOS LTDA,fashion,"R$ 62.000,00",,
2026-04-13,lack of documentation,"LUIS ALBERTO GUIRAL JUNIOR, LUIZ ALBERTO GUIRAL, PAULO VITOR GUIRAL",rural producer / farmer,"R$ 14.443.410,72",,
2026-04-16,lack of documentation,TRANSMAUVI LTDA,logistics,"R$ 11.612.439,59",,
2026-04-17,lack of documentation,FSS PESCA COMERCIO LTDA,fishing,"R$ 480.443,47",,
2026-04-27,lack of documentation,LOG LIX SERVICOS E AMBIENTAL LTDA,logistics,"R$ 893.090,54",,
2026-05-29,lack of documentation,RETROLESSING SERVICOS EM TERRAPLENAGEM E ESCAVACOES LTDA,construction,"R$ 3.305.094,28",,
2026-05-05,lack of documentation,DIEGO MIGUEL DAGOLA,rural producer / farmer,"R$ 3.744.019,06",,
2026-05-04,lack of documentation,"TD CONSTRUCOES, REDES E INSTALACOES DE GAS LTDA",construction,"R$ 227.188.042,44",,
2026-05-12,lack of operation,NEW HAMMER INDUSTRIA E COMERCIO DE MOVEIS LTDA,furniture,"R$ 1.989.262,87",,
2026-06-02,non profit organization,INSTITUTO SANTANENSE DE ENSINO SUPERIOR LTDA,education,"R$ 231.288.135,54",,
2026-06-10,non negociable debt,IVAN TRANSPORTES E LOGISTICA LTDA,logistics,"R$ 13.855.967,34",,
